# mjd,flux,flux err
55110.3876042,0.7797456,0.0189540
55113.3824306,0.7767213,0.0117454
55116.3721528,0.7768913,0.0128825
55122.3627546,0.7935610,0.0342181
55138.3110417,0.8966464,0.0264849
55141.3085301,0.9202904,0.0268157
55144.3025231,0.9431029,0.0213751
55148.2990625,0.9911382,0.0248841
55151.1287616,1.0218900,0.0218241
55154.1300926,1.0597036,0.0495663
55157.1227546,1.0893010,0.0264395
55161.1133449,1.1763328,0.0314907
55167.0984028,1.2398561,0.0172043
55176.0585648,1.3990783,0.0272108
55180.0429167,1.4485916,0.0333421
55183.0437384,1.4771047,0.0216525
55186.0378472,1.5111539,0.0239166
55193.0107407,1.6174590,0.0302004
55196.9944676,1.6737203,0.0241123
55200.0056366,1.7084362,0.0414075
55203.9446296,1.7194875,0.0237856
55206.9337616,1.7940343,0.0503892
55212.9167593,1.8246601,0.0287617
55222.8934722,1.8196423,0.0417515
55228.8740972,1.7675363,0.1457989
55238.8486343,1.7394005,0.0332629
55241.8380671,1.7374216,0.0781439
55250.8149074,1.7396634,0.0347098
55267.7722801,1.7804169,0.0357557
55319.8174306,1.4993401,0.0305015
55323.7849190,1.4428133,0.1298128
55330.7658333,1.4439630,0.0206860
55336.7552083,1.4137937,0.0214936
55349.6057060,1.2986315,0.0501544
55352.5910532,1.2857064,0.0217052
55361.5638426,1.2081148,0.0169619
55364.5707639,1.2288662,0.0208089
55368.5449190,1.1457204,0.0181213
55371.5454167,1.1912413,0.0232545
55375.5259838,1.1615215,0.0164824
55379.5148264,1.1086329,0.0173102
55382.5065741,1.1762742,0.0539762
55385.4985417,1.1390162,0.0446795
55391.4861111,1.1194104,0.0452457
55411.4438194,1.1409110,0.0328841
55425.3354398,1.1428368,0.0207113
55428.3528009,1.1085436,0.0329347
55432.3418056,1.0996497,0.0223680
55433.5130440,1.0700646,0.0450750
55446.4779051,0.9688165,0.0327384
55450.4455556,0.9658455,0.0404668
55458.4452315,0.8893475,0.0144701
55466.4233449,0.8488306,0.0225233
55470.3899884,0.7986552,0.0136547
55488.3642130,0.7174766,0.0252051
55492.3298843,0.6939377,0.0245751
55497.3273495,0.6912111,0.0097360
55501.3273148,0.6743186,0.0101258
55505.3098148,0.6667671,0.0279315
55526.2496181,0.5934648,0.0135674
55532.2364583,0.5775558,0.0234182
55583.0615856,0.3887273,0.0119975
55586.0465394,0.3761442,0.0182139
55613.9669907,0.2942152,0.0796140
